name,facility_type,latitude,longitude,utm_easting,utm_northing
Minginui Fire Station,Fire Station,-38.64243586,176.7303805,1924690.6046215738,5716295.802373978
Whakapapa Fire Station,Fire Station,-39.20339131,175.5409745,1819410.728122021,5657576.145126297
Feilding Fire Station,Fire Station,-40.22176412,175.574677,1819073.4354862482,5544448.98904538
Milson Fire Station,Fire Station,-40.3350641,175.6205545,1822605.3177546298,5531756.635449331
Palmerston North Fire Station,Fire Station,-40.36089317,175.6029578,1821025.983873194,5528933.342671596
Pahiatua Fire Station,Fire Station,-40.45111749,175.8410961,1840927.479860156,5518293.950027091
Woodville Fire Station,Fire Station,-40.33653442,175.8682062,1843639.770782293,5530940.610702511
Pongaroa Fire Station,Fire Station,-40.54262313,176.1926499,1870376.1873506424,5507114.796010602
Levin Fire Station,Fire Station,-40.62068526,175.2847141,1793253.1868490423,5500839.833870534
Foxton Fire Station,Fire Station,-40.47264406,175.2830371,1793537.2598683694,5517278.244400232
Greytown Fire Station,Fire Station,-41.07776247,175.463029,1806909.6829955322,5449687.286606807
Masterton Fire Station,Fire Station,-40.94574771,175.6654086,1824360.218192066,5463844.095527683
Carterton Fire Station,Fire Station,-41.02603097,175.5267564,1812430.1076053067,5455277.5169688575
Fire Station Featherston,Fire Station,-41.11660933,175.3260875,1795289.6892451837,5445690.478956429
Porirua Fire Station,Fire Station,-41.13833839,174.8472006,1755030.7917618307,5444241.483289448
Trentham Fire Station,Fire Station,-41.13129311,175.0425736,1771447.197033637,5444657.327074321
Johnsonville Fire Station,Fire Station,-41.22157858,174.8083605,1751578.7827705047,5435068.560580535
Lake Ferry Volunteer Fire Brigade,Fire Station,-41.39042305,175.1460657,1779423.539624609,5415678.503501559
Eastbourne Volunteer Fire Brigade,Fire Station,-41.29206297,174.8967511,1758817.2407892635,5427085.283621526
Karori Fire Station,Fire Station,-41.28068685,174.7509526,1746634.3146708987,5428604.818341512
Thorndon Fire Station,Fire Station,-41.27531715,174.7830424,1749334.0455423323,5429146.274131252
Wellington City Fire Station,Fire Station,-41.2931843,174.7847393,1749435.389123756,5427159.706409614
Brooklyn Fire station,Fire Station,-41.30519675,174.7643256,1747698.9756560014,5425861.005007534
Newtown Fire Station,Fire Station,-41.31819732,174.7810147,1749066.519342576,5424389.107176545
Kilbirnie Fire Station,Fire Station,-41.31802616,174.8031553,1750920.1067741981,5424369.82726942
Tawa Fire Station,Fire Station,-41.17114985,174.8223781,1752871.1323969564,5440642.658186177
