Index,sitename,antlat,antlng,utm_easting,utm_northing
173,AKL-004-082-A,-36.71491,174.536166,279942.4931,5933923.199
174,AKL-004-083-A,-36.561249,174.535956,279485.8994,5950972.366
175,AKL-004-084-A,-36.532164,174.516229,277636.7954,5954154.058
176,AKL-004-085-A,-36.344481,174.322929,259749.4085,5974514.762
177,AKL-004-086-A,-36.768959,174.440606,271566.3102,5927702.055
178,AKL-004-087-A,-36.640896,174.630728,288186.7593,5942348.517
179,AKL-004-088-A,-36.275982,174.65555,289421.1929,5982890.48
180,AKL-004-089-A,-36.581034,174.633612,288280.9401,5948996.781
181,AKL-004-091-A,-36.597899,174.585502,284022.8679,5947018.431
182,AKL-004-092-A,-36.530616,174.644098,289082.1935,5954613.838
183,AKL-004-093-A,-36.538651,174.465053,273073.291,5953314.737
184,AKL-004-094-A,-36.566899,174.671333,291618.3569,5950647.555
185,AKL-004-101-A,-36.481533,174.435075,270220.2452,5959581.202
186,AKL-004-102-A,-36.726395,174.497809,276549.3105,5932560.012
187,AKL-004-103-A,-36.521996,174.261845,254825.7258,5954663.968
188,AKL-004-107-A,-36.449685,174.637338,288256.5633,5963578.414
189,AKL-005-092-B,-36.822666,174.806054,304325.3271,5922553.604
190,AKL-005-001-A,-36.824594,174.798638,303668.7417,5922324.472
191,AKL-005-002-D,-36.823197,174.788926,302798.8559,5922459.47
192,AKL-005-003-A,-36.831781,174.796784,303521.7566,5921523.239
193,AKL-005-004-H,-36.807725,174.790309,302882.5273,5924178.993
194,AKL-005-005-B,-36.797693,174.780614,301991.7112,5925272.036
195,AKL-005-006-B,-36.822603,174.750682,299385.9072,5922445.752
196,AKL-005-007-A,-36.817549,174.732237,297727.2673,5922967.624
197,AKL-005-008-D,-36.811603,174.72544,297105.2172,5923612.949
198,AKL-005-009-C,-36.811433,174.713028,295997.4267,5923605.386
199,AKL-005-010-A,-36.806203,174.706397,295391.9127,5924171.503
200,AKL-005-011-H,-36.807725,174.741114,298493.4032,5924076.395
201,AKL-005-104-A,-36.801761,174.74538,298858.4046,5924747.112
202,AKL-005-012-A,-36.777629,174.722911,296789.8145,5927377.141
203,AKL-005-013-A,-36.788116,174.699551,294732.8108,5926163.666
204,AKL-005-014-C,-36.792267,174.74783,299052.194,5925805.661
205,AKL-005-015-B,-36.790395,174.771764,301183.1516,5926063.405
206,AKL-005-016-D,-36.787572,174.758177,299963.3173,5926348.286
207,AKL-005-017-F,-36.773815,174.769838,300968.3809,5927899.001
208,AKL-005-018-A,-36.776672,174.669747,292042.0692,5927369.037
209,AKL-005-019-C,-36.780814,174.678565,292840.2888,5926928.599
210,AKL-005-020-C,-36.798951,174.723634,296910.6636,5925012.91
211,AKL-005-021-D,-36.781882,174.740183,298342.5673,5926941.816
212,AKL-005-022-J,-36.759782,174.649511,290189.8222,5929198.881
213,AKL-005-023-G,-36.756625,174.702898,294947.6017,5929664.914
214,AKL-005-024-E,-36.769337,174.735689,297908.5307,5928324.245
215,AKL-005-025-A,-36.77622,174.738618,298188.0387,5927566.735
216,AKL-005-026-C,-36.755314,174.764213,300418.3353,5929940.023
217,AKL-005-027-F,-36.74249,174.721016,296527.8187,5931271.921
218,AKL-005-028-F,-36.742634,174.733305,297625.5477,5931281.998
219,AKL-005-029-A,-36.738132,174.753473,299414.7255,5931823.961
220,AKL-005-030-C,-36.726456,174.748755,298962.9492,5933109.549
221,AKL-005-031-A,-36.727863,174.701338,294731.6942,5932852.829
222,AKL-005-032-A,-36.700338,174.725384,296806.7852,5935958.096
223,AKL-005-033-H,-36.707202,174.737847,297938.2626,5935222.877
224,AKL-005-034-C,-36.744817,174.757484,299790.2826,5931090.639
225,AKL-005-035-D,-36.761529,174.738618,298149.5086,5929196.755
226,AKL-005-036-C,-36.730655,174.723924,296756.2719,5932591.233
227,AKL-005-037-E,-36.795043,174.7648,300573.7469,5925533.189
228,AKL-005-038-A,-36.758938,174.719981,296478.8735,5929444.752
229,AKL-005-039-D,-36.726005,174.739965,298176.7011,5933141.097
230,AKL-005-041-A,-36.732642,174.733671,297631.9855,5932391.416
231,AKL-005-042-G,-36.782414,174.720723,296607.1777,5926841.573
232,AKL-005-044-A,-36.772579,174.70737,295389.2763,5927904.325
233,AKL-005-045-A,-36.747014,174.742767,298481.9168,5930815.988
234,AKL-005-047-E,-36.790834,174.690127,293899.0705,5925841.816
235,AKL-005-048-D,-36.715655,174.741787,298312.3554,5934293.298
236,AKL-005-049-A,-36.754656,174.728421,297221.0877,5929937.776
237,AKL-005-050-F,-36.695868,174.751899,299164.1079,5936509.959
238,AKL-005-051-F,-36.708524,174.726954,296968.6033,5935053.164
239,AKL-005-052-A,-36.729052,174.714322,295894.479,5932748.664
240,AKL-005-053-C,-36.748609,174.699195,294595.6175,5930546.381
241,AKL-005-054-A,-36.770691,174.685522,293434.0342,5928066.845
242,AKL-005-055-B,-36.769849,174.74909,299106.0931,5928295.666
243,AKL-005-059-A,-36.702402,174.720354,296362.8315,5935718.409
244,AKL-005-061-B,-36.715644,174.733592,297580.2974,5934277.229
245,AKL-005-064-K,-36.793203,174.737375,298121.6759,5925679.781
246,AKL-005-065-A,-36.791325,174.725909,297093.5357,5925863.879
247,AKL-005-070-A,-36.768905,174.758812,299971.4554,5928420.78
248,AKL-005-074-A,-36.756099,174.69183,293958.0487,5929699.499
249,AKL-005-102-A,-36.77699,174.743959,298666.7697,5927492.558
250,AKL-005-075-E,-36.769955,174.722026,296690.5473,5928226.721
251,AKL-005-079-A,-36.793322,174.70711,295421.2485,5925602.238
252,AKL-005-085-B,-36.801556,174.760091,300170.4763,5924800.714
253,AKL-005-096-A,-36.684925,174.739861,298059.8917,5937698.811
254,AKL-005-077-E,-36.686916,174.741041,298170.5448,5937480.391
255,AKL-005-091-A,-36.712335,174.746394,298715.215,5934671.352
256,AKL-005-094-A,-36.781997,174.757431,299882.2372,5926965.291
257,AKL-005-107-A,-36.731443,174.708514,295382.1081,5932470.976
258,AKL-006-001-F,-36.903898,174.659256,291451.6598,5913229.62
259,AKL-006-002-D,-36.890493,174.626169,288466.2864,5914644.133
260,AKL-006-003-D,-36.878656,174.632833,289027.6276,5915972.299
261,AKL-006-004-C,-36.868611,174.615443,287449.6518,5917048.275
262,AKL-006-005-E,-36.859538,174.629485,288676.5029,5918086.178
263,AKL-006-006-D,-36.85819,174.652591,290732.9753,5918286.657
264,AKL-006-007-B,-36.851453,174.635977,289233.1224,5918997.622
265,AKL-006-008-C,-36.831006,174.647475,290202.5158,5921291.679
266,AKL-006-009-B,-36.841219,174.619799,287762.2176,5920097.32
267,AKL-006-010-A,-36.82107,174.611858,286998.1251,5922315.322
268,AKL-006-011-A,-36.866173,174.588297,285022.7236,5917257.982
269,AKL-006-012-D,-36.930774,174.679978,293370.7396,5910292.655
270,AKL-006-013-B,-36.907502,174.682934,293571.2902,5912881.257
271,AKL-006-014-A,-36.85618,174.620926,287904.0874,5918439.79
272,AKL-006-015-A,-36.810355,174.643528,289793.9561,5923574.365
273,AKL-006-016-A,-36.887341,174.644102,290055.9259,5915033.494
274,AKL-006-017-A,-36.909382,174.650847,290717.3333,5912602.702
275,AKL-006-018-H,-36.937436,174.656843,291328.1108,5909503.036
276,AKL-006-019-A,-36.793568,174.615672,287262.2311,5925375.358
277,AKL-006-020-A,-36.801421,174.640804,289526.4586,5924559.654
278,AKL-006-023-A,-36.907269,174.635948,289383.979,5912804.346
